Aberdare Sports Ground
Alan Lawson Oval
Bloemfontein
Bloemfontein Oval
Bohemians Ground
"Boland Park, Paarl"
"Boland Park, Worcester"
Braam Fisherville Ground
Brackenfell Sports Fields
Bridgton Sports Grounds
Buffalo Park
Cambridge Academy
Cambridge High School
Capricorn High School
Carter High School
CBC Oval
Cecil Payne Stadium
Centurion Park
Chatsworth Stadium
City Oval
Collegians Ground
Columbus Oval
Constantia Oval
Correctional Services Ground
Country Club B Field
CUT Main Oval
CUT Tokkie Park
Dan Qeqe Stadium
Defence Ground
Despatch Oval
East London
Easterns Cricket Club Ground
Fichardtpark
Fields College Ground
Florida Park
Fort Hare University
Freeman Park Ground
Gelvandale Oval
Greenbushes-Caledonian Cricket Club
Grey College A Ground
Grey College B Ground
Groenkloof Oval
Grootvlei Oval
Hammanskraal Oval
Hammondfield
Heatherbank Cricket Club
Hertzog High School
Ingwenyama Ground
Irene Villagers Ground
Joburg Cricket Club Ground
Johan Volsteedt Oval
Kemsley Park
Khaya Majola Oval
Kimberley Boys' High School
Kimberley Oval
Kingsmead stadium
Landau Rec Oval
Langenhoven Gimnasium
Laudium Oval
Lenasia Stadium
Middleburg Cricket Club
Military Ground
Modjadjiskloof Oval
Mohadin Oval
Muir Old Boys Club Ground
Newlands Stadium
Ngumbela Park
Nirvana
NMMU Main Oval
Northerns Cricket Club A Ground
Northerns-Goodwood Oval
NWU 2 Oval
NWU Main Oval
O'Grady's
Old Greys Sports Ground
Old Mutual Sports Club Ground
Old Selbornian Club
Oude Libertas Ground
Oudtshoorn High School
Paarl Cricket Club Ground
Parys A Ground
Paul Roos Oval
Pearson High School
Pen Basson Field
Pinelands Oval
Police Ground
Polokwane Outer Oval
Polokwane Oval
Port Elizabeth
Potch Boys High Oval
Potchefstroom Oval
Pullens Hope Ground
Randburg Cricket Club
Recreation Ground
RJE Burt Oval
SANDF Oval
SASOL Club
Schoeman Park A Ground
Sinovich Park
Sir Lionel Phillips Park
Somerset College
Soweto Cricket Oval
St Andrews A
St Benedict's Main Oval
St Dominic's Priory School
St George's Park
St. Alban's Ground
St. Andrews Chapel
St. Andrews Hickling
St. Andrews Vossie
St. George's Outer Oval
St. Stithians Baytopp
St. Stithians Dlamini
St. Stithians Jameson
Stapelberg Stadium
Steyn City
Steyn School
Sturrock Park
SU Main Oval
Summerwood Primary School
Tassies Oval
The Feathers
The Vineyard
Top Oval
TUT Oval
TUT Witbank
UCT Bowl
UFS 2 Oval
UFS 3 Oval
UFS 4 Oval
UFS Oval
UJ Main Oval
UJ West Oval
UKZN 4 Oval
Union Cricket Ground
United CC Ground
UP 2 Oval
UP 3 Oval
UP 4 Oval
UP Main Oval
Uplands College
UWC Main Oval
Vaal Reefs Ground
Van der Stel Ground
Van Riebeeck Stadium
Varsity Oval
Varsity Oval 2
Victoria Park High School
Victoria Pirates Ground
Victory Park
Walter Milton Oval
Wanderers
Wanderers Club 2
West End Cricket Club Ground
Westering High School
Westville Boys High School
White River Country Club
Willowmoore Park A Field
Willowmoore Park B Field
Willowmoore Park Main Oval
Windmill Park
Wine Farm Cricket Field
Witbank High School Ground
Witrand Cricket Field
Woodlands
Woodridge College Rushmere
Yorkshire Cricket Club Ground
