Venue_ID,Original_Name,Suggested_Name,City,Latitude,Longitude
8324,"LC de Villiers No 4 Oval, Pretoria",UP 4 Oval,Pretoria,-25.7459277,28.1879101
8663,"Carter High School, Pietermaritzburg",Carter High School,Pietermaritzburg,-29.6,30.3788889
8874,"Somerset College, Somerset West",Somerset College,Somerset West,-34.0822195,18.8489342
9815,"Old Greys Sports Ground, Bloemfontein",Old Greys Sports Ground,Bloemfontein,-29.116395,26.215496
9858,"Northerns Cricket Club A Ground, Benoni",Northerns Cricket Club A Ground,Benoni,-26.1930356,28.3082376
9860,"University of Free State Field 4, Bloemfontein",UFS 4 Oval,Bloemfontein,-29.116395,26.215496
9863,"Grey College A Ground, Bloemfontein",Grey College A Ground,Bloemfontein,-29.116395,26.215496
9894,"Cambridge High School, East London",Cambridge High School,East London,-33.0191604,27.8998573
9906,"Defence Ground, Kimberley",Defence Ground,Kimberley,-28.7383012,24.7642251
9908,"Kimberley Boys' High School, Kimberley",Kimberley Boys' High School,Kimberley,-28.7383012,24.7642251
9911,"O'Grady's, Kimberley",O'Grady's,Kimberley,-28.7383012,24.7642251
9929,"Wine Farm Cricket Field, Distell",Wine Farm Cricket Field,Distell,-33.9718647,22.4722501
9934,"Tassies Oval, Stellenbosch",Tassies Oval,Stellenbosch,-33.934444,18.869167
9936,"Dan Qeqe Stadium, Port Elizabeth",Dan Qeqe Stadium,Port Elizabeth,-33.9618598,25.6186731
9941,"Woodridge College Rushmere, Gqeberha",Woodridge College Rushmere,Gqeberha,-33.9618598,25.6186731
9948,"Potchefstroom Boys High School A Ground, Potchefstroom",Potch Boys High Oval,Potchefstroom,-26.707778,27.095833
10054,"Randburg Cricket Club, Johannesburg",Randburg Cricket Club,Johannesburg,-26.205,28.049722
10837,"Ingwenyama Conference Centre and Sports Resort Ground, White River",Ingwenyama Ground,White River,-25.326389,31.014444
10838,"Heatherbank Cricket Club, Port Elizabeth",Heatherbank Cricket Club,Port Elizabeth,-33.9618598,25.6186731
10842,"Middleburg Cricket Club, Witbank",Middleburg Cricket Club,Witbank,-25.8762409,29.2099962
11029,"Westville Boys High School, Durban",Westville Boys High School,Durban,-29.861825,31.009909
11034,"Baytopp Field, St Stithians College, Johannesburg",St. Stithians Baytopp,Johannesburg,-26.205,28.049722
11035,"Jameson 1 Field, St Stithians College, Johannesburg",St. Stithians Jameson,Johannesburg,-26.205,28.049722
11037,"Andries Dlamini Oval, St Stithians College, Johannesburg",St. Stithians Dlamini,Johannesburg,-26.205,28.049722
12124,"Groenkloof Oval, Pretoria",Groenkloof Oval,Pretoria,-25.7459277,28.1879101
12867,"University of KwaZulu-Natal Varsity 4, Durban",UKZN 4 Oval,Durban,-29.861825,31.009909
13036,"Christian Brothers College Ground, Bloemfontein",CBC Oval,Bloemfontein,-29.116395,26.215496
13037,"Grootvlei Oval, Bloemfontein",Grootvlei Oval,Bloemfontein,-29.116395,26.215496
13042,"Hertzog High School, Emalahleni",Hertzog High School,Emalahleni,-25.8762409,29.2099962
13051,"Maurice Freeman Park, Hope Village, Johannesburg",Freeman Park Ground,Johannesburg,-26.205,28.049722
13053,"Correctional Services Ground, Kimberley",Correctional Services Ground,Kimberley,-28.7383012,24.7642251
13054,"West End Cricket Club Ground, Kimberley",West End Cricket Club Ground,Kimberley,-28.7383012,24.7642251
13056,"Easterns Cricket Club Ground, Kraaifontein",Easterns Cricket Club Ground,Kraaifontein,-33.8477778,18.7161111
