Tournament,Season,Format,Team_Name,Team_ID,Division_ID,Final_Position,Finish_Type,Position,Champion,Runner_Up,Division_Position,Pool_Label,Matches_Played,Wins,Losses,Ties,No_Results,Points,Net_Run_Rate
CSA Women's Provincial League 2013/14,13/14,List A,Warriors,EAST,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,West/East,10,4,5,0,0,22,0.186
CSA Women's Provincial T20 Competition 2013/14,13/14,T20,Western Province,WEST,D1,,ELIMINATED_POOL_STAGE,2,0,0,2,Group A,2,1,1,0,0,5,1.259
CSA Women's Provincial League 2013/14,13/14,List A,Western Province,WEST,D1,1,CHAMPION,1,1,0,1,West/East,10,9,1,0,0,44,2.85
CSA Women's Provincial T20 Competition 2014/15,14/15,T20,Badgers,BADG,D2,4,ELIMINATED_POOL_STAGE,4,0,0,4,Pool A,4,1,3,0,0,5,1.197
CSA Women's Provincial League 2014/15,14/15,List A,Badgers,BADG,D2,,ELIMINATED_POOL_STAGE,3,0,0,3,Pool A,4,3,1,0,0,14,0.757
CSA Women's Provincial League 2014/15,14/15,List A,Boland,BOLA,D1,3,THIRD_PLACE,3,0,0,2,,5,2,2,0,1,12,0.563
CSA Women's Provincial T20 Competition 2014/15,14/15,T20,Boland,BOLA,D1,2,ELIMINATED_REGULAR_SEASON,2,0,0,2,,5,4,1,0,0,19,1.37
CSA Women's Provincial T20 Competition 2014/15,14/15,T20,Dolphins,DOLP,D1,3,ELIMINATED_REGULAR_SEASON,3,0,0,3,,5,2,3,0,0,9,0.015
CSA Women's Provincial League 2014/15,14/15,List A,Dolphins,DOLP,D1,7,SEMI_FINALIST,7,0,0,4,,5,2,3,0,0,10,0.318
CSA Women's Provincial T20 Competition 2014/15,14/15,T20,Dragons,DRAG,D2,,POOL_WINNER_ADVANCED,1,0,0,1,Pool B,4,3,0,0,0,17,3
CSA Women's Provincial League 2014/15,14/15,List A,Dragons,DRAG,D2,5,SEMI_FINALIST,5,0,0,1,Pool B,4,4,0,0,0,20,4.599
CSA Women's Provincial League 2014/15,14/15,List A,Eastern Storm,STOR,D2,,ELIMINATED_POOL_STAGE,3,0,0,3,Pool B,4,2,2,0,0,10,1.071
CSA Women's Provincial T20 Competition 2014/15,14/15,T20,Eastern Storm,STOR,D2,2,ELIMINATED_POOL_STAGE,2,0,0,2,Pool B,4,3,1,0,0,14,0.62
CSA Women's Provincial League 2014/15,14/15,List A,Heat,HEAT,D2,,ELIMINATED_POOL_STAGE,4,0,0,4,Pool A,4,1,3,0,0,5,-1.043
CSA Women's Provincial T20 Competition 2014/15,14/15,T20,Heat,HEAT,D2,3,ELIMINATED_POOL_STAGE,3,0,0,3,Pool A,4,2,2,0,0,9,-0.824
CSA Women's Provincial T20 Competition 2014/15,14/15,T20,Iinyathi,IINY,D2,2,ELIMINATED_POOL_STAGE,2,0,0,2,Pool A,4,3,1,0,0,14,1.389
CSA Women's Provincial League 2014/15,14/15,List A,Iinyathi,IINY,D2,,ELIMINATED_POOL_STAGE,2,0,0,2,Pool A,4,3,1,0,0,15,1.603
CSA Women's Provincial League 2014/15,14/15,List A,Kei,KEI,D2,,ELIMINATED_POOL_STAGE,5,0,0,5,Pool A,4,0,4,0,0,0,-5.304
CSA Women's Provincial T20 Competition 2014/15,14/15,T20,Kei,KEI,D2,5,ELIMINATED_POOL_STAGE,5,0,0,5,Pool A,4,0,3,0,0,2,-4.45
CSA Women's Provincial T20 Competition 2014/15,14/15,T20,Knights,KNIG,D1,6,ELIMINATED_REGULAR_SEASON,6,0,0,6,,5,0,5,0,0,0,-1.938
CSA Women's Provincial League 2014/15,14/15,List A,Knights,KNIG,D1,6,SEMI_FINALIST,6,0,0,5,,5,2,3,0,0,8,-0.825
CSA Women's Provincial League 2014/15,14/15,List A,Limpopo Lillies,LIMP,D2,,ELIMINATED_POOL_STAGE,5,0,0,5,Pool B,4,0,4,0,0,0,-2.088
CSA Women's Provincial T20 Competition 2014/15,14/15,T20,Limpopo Lillies,LIMP,D2,3,ELIMINATED_POOL_STAGE,3,0,0,3,Pool B,4,2,1,0,0,10,-0.9
CSA Women's Provincial League 2014/15,14/15,List A,Lions,LION,D1,4,SEMI_FINALIST,4,0,0,6,,5,1,4,0,0,5,-0.367
CSA Women's Provincial T20 Competition 2014/15,14/15,T20,Lions,LION,D1,4,ELIMINATED_REGULAR_SEASON,4,0,0,4,,5,2,3,0,0,9,-0.278
CSA Women's Provincial T20 Competition 2014/15,14/15,T20,Rhinos,RHIN,D2,4,ELIMINATED_POOL_STAGE,4,0,0,4,Pool B,4,1,3,0,0,4,-1.142
CSA Women's Provincial League 2014/15,14/15,List A,Rhinos,RHIN,D2,,ELIMINATED_POOL_STAGE,4,0,0,4,Pool B,4,1,3,0,0,5,-1.741
CSA Women's Provincial T20 Competition 2014/15,14/15,T20,Titans,TITA,D1,5,ELIMINATED_REGULAR_SEASON,5,0,0,5,,5,2,3,0,0,9,-0.36
CSA Women's Provincial League 2014/15,14/15,List A,Titans,TITA,D1,2,RUNNER_UP,2,0,1,3,,5,2,2,0,1,11,-0.793
CSA Women's Provincial T20 Competition 2014/15,14/15,T20,Tuskers,TUSK,D2,5,ELIMINATED_POOL_STAGE,5,0,0,5,Pool B,4,0,4,0,0,0,-0.936
CSA Women's Provincial League 2014/15,14/15,List A,Tuskers,TUSK,D2,,ELIMINATED_POOL_STAGE,2,0,0,2,Pool B,4,3,1,0,0,14,-0.154
CSA Women's Provincial League 2014/15,14/15,List A,Warriors,EAST,D2,8,SEMI_FINALIST,8,0,0,1,Pool A,4,3,1,0,0,15,3.395
CSA Women's Provincial T20 Competition 2014/15,14/15,T20,Warriors,EAST,D2,,POOL_WINNER_ADVANCED,1,0,0,1,Pool A,4,3,0,0,0,16,2.69
CSA Women's Provincial League 2014/15,14/15,List A,Western Province,WEST,D1,1,CHAMPION,1,1,0,1,,5,5,0,0,0,23,1.017
CSA Women's Provincial T20 Competition 2014/15,14/15,T20,Western Province,WEST,D1,1,LEAGUE_WINNER,1,1,0,1,,5,5,0,0,0,23,1.17
CSA Women's Provincial T20 Competition 2015/16,15/16,T20,Badgers,BADG,D2,3,ELIMINATED_POOL_STAGE,3,0,0,3,Pool A,4,2,2,0,0,10,-0.767
CSA Women's Provincial League 2015/16,15/16,List A,Badgers,BADG,D2,,ELIMINATED_POOL_STAGE,3,0,0,3,Pool A,4,3,1,0,0,15,0.831
CSA Women's Provincial T20 Competition 2015/16,15/16,T20,Boland,BOLA,D1,5,ELIMINATED_REGULAR_SEASON,5,0,0,5,,5,2,3,0,0,8,-1.249
CSA Women's Provincial League 2015/16,15/16,List A,Boland,BOLA,D1,4,SEMI_FINALIST,4,0,0,4,,5,3,2,0,0,13,-0.243
CSA Women's Provincial T20 Competition 2015/16,15/16,T20,Dolphins,DOLP,D2,,POOL_WINNER_ADVANCED,1,0,0,1,Pool B,4,4,0,0,0,20,2.45
CSA Women's Provincial League 2015/16,15/16,List A,Dolphins,DOLP,D2,8,SEMI_FINALIST,8,0,0,1,Pool B,4,4,0,0,0,20,3.214
CSA Women's Provincial T20 Competition 2015/16,15/16,T20,Dragons,DRAG,D1,4,ELIMINATED_REGULAR_SEASON,4,0,0,4,,5,2,3,0,0,8,-0.081
CSA Women's Provincial League 2015/16,15/16,List A,Dragons,DRAG,D1,3,THIRD_PLACE,3,0,0,1,,5,4,1,0,0,17,0.28
CSA Women's Provincial T20 Competition 2015/16,15/16,T20,Eastern Storm,STOR,D2,2,ELIMINATED_POOL_STAGE,2,0,0,2,Pool B,4,2,1,0,0,10,-0.375
CSA Women's Provincial League 2015/16,15/16,List A,Eastern Storm,STOR,D2,,ELIMINATED_POOL_STAGE,2,0,0,2,Pool B,4,2,1,0,0,12,1.921
CSA Women's Provincial League 2015/16,15/16,List A,Heat,HEAT,D2,,ELIMINATED_POOL_STAGE,4,0,0,4,Pool A,4,1,3,0,0,5,-2.268
CSA Women's Provincial T20 Competition 2015/16,15/16,T20,Heat,HEAT,D2,4,ELIMINATED_POOL_STAGE,4,0,0,4,Pool A,4,1,3,0,0,5,-2.232
CSA Women's Provincial League 2015/16,15/16,List A,Iinyathi,IINY,D2,,ELIMINATED_POOL_STAGE,2,0,0,2,Pool A,4,3,1,0,0,15,2.011
CSA Women's Provincial T20 Competition 2015/16,15/16,T20,Iinyathi,IINY,D2,,POOL_WINNER_ADVANCED,1,0,0,1,Pool A,4,4,0,0,0,20,3.475
CSA Women's Provincial T20 Competition 2015/16,15/16,T20,Kei,KEI,D2,5,ELIMINATED_POOL_STAGE,5,0,0,5,Pool A,4,0,4,0,0,0,-3.043
CSA Women's Provincial League 2015/16,15/16,List A,Kei,KEI,D2,,ELIMINATED_POOL_STAGE,5,0,0,5,Pool A,4,0,4,0,0,0,-2.629
CSA Women's Provincial League 2015/16,15/16,List A,Knights,KNIG,D1,5,SEMI_FINALIST,5,0,0,5,,5,1,4,0,0,5,-0.82
CSA Women's Provincial T20 Competition 2015/16,15/16,T20,Knights,KNIG,D1,6,ELIMINATED_REGULAR_SEASON,6,0,0,6,,5,1,3,0,0,7,0.047
CSA Women's Provincial T20 Competition 2015/16,15/16,T20,Limpopo Lillies,LIMP,D2,5,ELIMINATED_POOL_STAGE,5,0,0,5,Pool B,4,0,4,0,0,0,-1.674
CSA Women's Provincial League 2015/16,15/16,List A,Limpopo Lillies,LIMP,D2,,ELIMINATED_POOL_STAGE,4,0,0,4,Pool B,4,1,3,0,0,5,-0.767
CSA Women's Provincial T20 Competition 2015/16,15/16,T20,Lions,LION,D1,3,ELIMINATED_REGULAR_SEASON,3,0,0,3,,5,2,2,0,0,11,0.359
CSA Women's Provincial League 2015/16,15/16,List A,Lions,LION,D1,2,RUNNER_UP,2,0,1,2,,5,3,2,0,0,15,1.66
CSA Women's Provincial League 2015/16,15/16,List A,Rhinos,RHIN,D2,,ELIMINATED_POOL_STAGE,5,0,0,5,Pool B,4,1,3,0,0,4,-2.851
CSA Women's Provincial T20 Competition 2015/16,15/16,T20,Rhinos,RHIN,D2,4,ELIMINATED_POOL_STAGE,4,0,0,4,Pool B,4,1,2,0,0,6,-0.717
CSA Women's Provincial League 2015/16,15/16,List A,Titans,TITA,D1,7,SEMI_FINALIST,7,0,0,6,,5,1,4,0,0,5,-1.091
CSA Women's Provincial T20 Competition 2015/16,15/16,T20,Titans,TITA,D1,2,ELIMINATED_REGULAR_SEASON,2,0,0,2,,5,3,2,0,0,12,0.039
CSA Women's Provincial League 2015/16,15/16,List A,Tuskers,TUSK,D2,,ELIMINATED_POOL_STAGE,3,0,0,3,Pool B,4,1,2,0,0,7,-0.792
CSA Women's Provincial T20 Competition 2015/16,15/16,T20,Tuskers,TUSK,D2,3,ELIMINATED_POOL_STAGE,3,0,0,3,Pool B,4,2,2,0,0,9,0.027
CSA Women's Provincial T20 Competition 2015/16,15/16,T20,Warriors,EAST,D2,2,ELIMINATED_POOL_STAGE,2,0,0,2,Pool A,4,3,1,0,0,15,1.416
CSA Women's Provincial League 2015/16,15/16,List A,Warriors,EAST,D2,6,SEMI_FINALIST,6,0,0,1,Pool A,4,3,1,0,0,15,2.391
CSA Women's Provincial League 2015/16,15/16,List A,Western Province,WEST,D1,1,CHAMPION,1,1,0,3,,5,3,2,0,0,14,0.45
CSA Women's Provincial T20 Competition 2015/16,15/16,T20,Western Province,WEST,D1,1,LEAGUE_WINNER,1,1,0,1,,5,4,1,0,0,17,0.853
CSA Women's Provincial League 2016/17,16/17,List A,Badgers,BADG,D2,,ELIMINATED_POOL_STAGE,3,0,0,3,Pool A,4,1,3,0,0,5,-1.054
CSA Women's Provincial T20 Competition 2016/17,16/17,T20,Badgers,BADG,D2,3,ELIMINATED_POOL_STAGE,3,0,0,3,Pool A,4,2,2,0,0,10,1.099
CSA Women's Provincial League 2016/17,16/17,List A,Boland,BOLA,D1,7,SEMI_FINALIST,7,0,0,6,,5,0,4,0,1,2,-0.49
CSA Women's Provincial T20 Competition 2016/17,16/17,T20,Boland,BOLA,D1,4,ELIMINATED_REGULAR_SEASON,4,0,0,4,,5,2,3,0,0,9,-1.163
CSA Women's Provincial League 2016/17,16/17,List A,Dolphins,DOLP,D2,,ELIMINATED_POOL_STAGE,2,0,0,2,Pool A,4,3,1,0,0,15,2.483
CSA Women's Provincial T20 Competition 2016/17,16/17,T20,Dolphins,DOLP,D2,,POOL_WINNER_ADVANCED,1,0,0,1,Pool A,4,4,0,0,0,19,2.207
CSA Women's Provincial T20 Competition 2016/17,16/17,T20,Dragons,DRAG,D1,5,ELIMINATED_REGULAR_SEASON,5,0,0,5,,5,1,4,0,0,5,-0.547
CSA Women's Provincial League 2016/17,16/17,List A,Dragons,DRAG,D1,1,CHAMPION,1,1,0,3,,5,2,2,0,1,12,-0.027
CSA Women's Provincial League 2016/17,16/17,List A,Eastern Storm,STOR,D2,,ELIMINATED_POOL_STAGE,3,0,0,3,Pool B,4,2,2,0,0,10,0.722
CSA Women's Provincial T20 Competition 2016/17,16/17,T20,Eastern Storm,STOR,D2,2,ELIMINATED_POOL_STAGE,2,0,0,2,Pool B,4,3,1,0,0,15,0.893
CSA Women's Provincial T20 Competition 2016/17,16/17,T20,Heat,HEAT,D2,3,ELIMINATED_POOL_STAGE,3,0,0,3,Pool B,4,2,2,0,0,9,0.083
CSA Women's Provincial League 2016/17,16/17,List A,Heat,HEAT,D2,,ELIMINATED_POOL_STAGE,2,0,0,2,Pool B,4,2,1,0,0,12,0.077
CSA Women's Provincial T20 Competition 2016/17,16/17,T20,Iinyathi,IINY,D2,2,ELIMINATED_POOL_STAGE,2,0,0,2,Pool A,4,3,1,0,0,14,1.18
CSA Women's Provincial League 2016/17,16/17,List A,Iinyathi,IINY,D2,6,SEMI_FINALIST,6,0,0,1,Pool A,4,4,0,0,0,19,2.638
CSA Women's Provincial T20 Competition 2016/17,16/17,T20,Kei,KEI,D2,5,ELIMINATED_POOL_STAGE,5,0,0,5,Pool A,4,0,4,0,0,0,-3.175
CSA Women's Provincial League 2016/17,16/17,List A,Kei,KEI,D2,,ELIMINATED_POOL_STAGE,5,0,0,5,Pool A,4,1,3,0,0,4,-2.151
CSA Women's Provincial League 2016/17,16/17,List A,Knights,KNIG,D1,5,SEMI_FINALIST,5,0,0,2,,5,2,1,0,1,13,-0.079
CSA Women's Provincial T20 Competition 2016/17,16/17,T20,Knights,KNIG,D1,3,ELIMINATED_REGULAR_SEASON,3,0,0,3,,5,3,2,0,0,14,0.497
CSA Women's Provincial T20 Competition 2016/17,16/17,T20,Limpopo Lillies,LIMP,D2,5,ELIMINATED_POOL_STAGE,5,0,0,5,Pool B,4,0,4,0,0,0,-3.6
CSA Women's Provincial League 2016/17,16/17,List A,Limpopo Lillies,LIMP,D2,,ELIMINATED_POOL_STAGE,5,0,0,5,Pool B,4,0,4,0,0,0,-2.994
CSA Women's Provincial League 2016/17,16/17,List A,Lions,LION,D1,2,RUNNER_UP,2,0,1,4,,5,2,1,0,1,12,-0.05
CSA Women's Provincial T20 Competition 2016/17,16/17,T20,Lions,LION,D1,2,ELIMINATED_REGULAR_SEASON,2,0,0,2,,5,4,1,0,0,18,1.081
CSA Women's Provincial T20 Competition 2016/17,16/17,T20,Rhinos,RHIN,D2,4,ELIMINATED_POOL_STAGE,4,0,0,4,Pool B,4,1,3,0,0,5,-0.972
CSA Women's Provincial League 2016/17,16/17,List A,Rhinos,RHIN,D2,,ELIMINATED_POOL_STAGE,4,0,0,4,Pool B,4,1,2,0,0,7,-1.228
CSA Women's Provincial T20 Competition 2016/17,16/17,T20,Titans,TITA,D2,,POOL_WINNER_ADVANCED,1,0,0,1,Pool B,4,4,0,0,0,19,3.438
CSA Women's Provincial League 2016/17,16/17,List A,Titans,TITA,D2,3,THIRD_PLACE,3,0,0,1,Pool B,4,4,0,0,0,20,3.366
CSA Women's Provincial T20 Competition 2016/17,16/17,T20,Tuskers,TUSK,D2,4,ELIMINATED_POOL_STAGE,4,0,0,4,Pool A,4,1,3,0,0,4,-1.207
CSA Women's Provincial League 2016/17,16/17,List A,Tuskers,TUSK,D2,,ELIMINATED_POOL_STAGE,4,0,0,4,Pool A,4,1,3,0,0,5,-1.77
CSA Women's Provincial T20 Competition 2016/17,16/17,T20,Warriors,EAST,D1,6,ELIMINATED_REGULAR_SEASON,6,0,0,6,,5,0,5,0,0,0,-2.249
CSA Women's Provincial League 2016/17,16/17,List A,Warriors,EAST,D1,8,SEMI_FINALIST,8,0,0,5,,5,2,2,0,0,10,-0.412
CSA Women's Provincial League 2016/17,16/17,List A,Western Province,WEST,D1,4,SEMI_FINALIST,4,0,0,1,,5,3,1,0,0,17,1.25
CSA Women's Provincial T20 Competition 2016/17,16/17,T20,Western Province,WEST,D1,1,LEAGUE_WINNER,1,1,0,1,,5,5,0,0,0,24,2.542
CSA Women's Provincial T20 Competition 2017/18,17/18,T20,Badgers,BADG,D2,3,ELIMINATED_POOL_STAGE,3,0,0,3,Pool A,4,2,2,0,0,9,0.841
CSA Women's Provincial League 2017/18,17/18,List A,Badgers,BADG,D2,,ELIMINATED_POOL_STAGE,2,0,0,2,Pool A,4,3,1,0,0,14,1.11
CSA Women's Provincial T20 Competition 2017/18,17/18,T20,Boland,BOLA,D2,2,ELIMINATED_POOL_STAGE,2,0,0,2,Pool A,4,3,1,0,0,15,1.345
CSA Women's Provincial League 2017/18,17/18,List A,Boland,BOLA,D2,6,SEMI_FINALIST,6,0,0,1,Pool A,4,4,0,0,0,19,2.12
CSA Women's Provincial League 2017/18,17/18,List A,Dolphins,DOLP,D2,,ELIMINATED_POOL_STAGE,2,0,0,2,Pool B,4,2,1,0,0,12,3.205
CSA Women's Provincial T20 Competition 2017/18,17/18,T20,Dolphins,DOLP,D2,,POOL_WINNER_ADVANCED,1,0,0,1,Pool B,4,4,0,0,0,20,4.054
CSA Women's Provincial T20 Competition 2017/18,17/18,T20,Dragons,DRAG,D1,2,ELIMINATED_REGULAR_SEASON,2,0,0,2,,5,4,1,0,0,18,0.67
CSA Women's Provincial League 2017/18,17/18,List A,Dragons,DRAG,D1,4,SEMI_FINALIST,4,0,0,2,,5,4,1,0,0,19,1.215
CSA Women's Provincial League 2017/18,17/18,List A,Eastern Storm,STOR,D2,7,SEMI_FINALIST,7,0,0,1,Pool B,4,4,0,0,0,19,2.546
CSA Women's Provincial League 2017/18,17/18,List A,Heat,HEAT,D2,,ELIMINATED_POOL_STAGE,4,0,0,4,Pool A,4,1,3,0,0,5,-0.273
CSA Women's Provincial T20 Competition 2017/18,17/18,T20,Heat,HEAT,D2,4,ELIMINATED_POOL_STAGE,4,0,0,4,Pool A,4,1,3,0,0,5,0.597
CSA Women's Provincial League 2017/18,17/18,List A,Iinyathi,IINY,D1,6,SEMI_FINALIST,6,0,0,6,,5,0,5,0,0,0,-2.917
CSA Women's Provincial T20 Competition 2017/18,17/18,T20,Iinyathi,IINY,D1,5,ELIMINATED_REGULAR_SEASON,5,0,0,5,,5,1,4,0,0,4,-1.346
CSA Women's Provincial T20 Competition 2017/18,17/18,T20,Kei,KEI,D2,5,ELIMINATED_POOL_STAGE,5,0,0,5,Pool A,4,0,4,0,0,0,-4.206
CSA Women's Provincial League 2017/18,17/18,List A,Kei,KEI,D2,,ELIMINATED_POOL_STAGE,5,0,0,5,Pool A,4,0,4,0,0,0,-3.824
CSA Women's Provincial T20 Competition 2017/18,17/18,T20,Knights,KNIG,D1,6,ELIMINATED_REGULAR_SEASON,6,0,0,6,,5,1,4,0,0,4,-1.467
CSA Women's Provincial League 2017/18,17/18,List A,Knights,KNIG,D1,8,SEMI_FINALIST,8,0,0,5,,5,2,3,0,0,9,-0.417
CSA Women's Provincial League 2017/18,17/18,List A,Limpopo Lillies,LIMP,D2,,ELIMINATED_POOL_STAGE,5,0,0,5,Pool B,4,0,4,0,0,0,-4.171
CSA Women's Provincial T20 Competition 2017/18,17/18,T20,Limpopo Lillies,LIMP,D2,4,ELIMINATED_POOL_STAGE,4,0,0,4,Pool B,4,1,3,0,0,5,-1.239
CSA Women's Provincial T20 Competition 2017/18,17/18,T20,Lions,LION,D1,4,ELIMINATED_REGULAR_SEASON,4,0,0,4,,5,2,3,0,0,9,-0.091
CSA Women's Provincial League 2017/18,17/18,List A,Lions,LION,D1,2,RUNNER_UP,2,0,1,3,,5,3,2,0,0,15,0.203
CSA Women's Provincial League 2017/18,17/18,List A,Rhinos,RHIN,D2,,ELIMINATED_POOL_STAGE,3,0,0,3,Pool B,4,2,2,0,0,10,-0.063
CSA Women's Provincial T20 Competition 2017/18,17/18,T20,Titans,TITA,D1,3,ELIMINATED_REGULAR_SEASON,3,0,0,3,,5,3,2,0,0,13,0.662
CSA Women's Provincial League 2017/18,17/18,List A,Titans,TITA,D1,4,SEMI_FINALIST,4,0,0,1,,5,4,1,0,0,19,1.243
CSA Women's Provincial T20 Competition 2017/18,17/18,T20,Tuskers,TUSK,D2,5,ELIMINATED_POOL_STAGE,5,0,0,5,Pool B,4,1,3,0,0,5,-1.607
CSA Women's Provincial League 2017/18,17/18,List A,Tuskers,TUSK,D2,,ELIMINATED_POOL_STAGE,4,0,0,4,Pool B,4,1,2,0,0,7,-1.044
CSA Women's Provincial League 2017/18,17/18,List A,Warriors,EAST,D2,,ELIMINATED_POOL_STAGE,3,0,0,3,Pool A,4,2,2,0,0,10,0.657
CSA Women's Provincial T20 Competition 2017/18,17/18,T20,Warriors,EAST,D2,,POOL_WINNER_ADVANCED,1,0,0,1,Pool A,4,4,0,0,0,18,1.501
CSA Women's Provincial League 2017/18,17/18,List A,Western Province,WEST,D1,1,CHAMPION,1,1,0,4,,5,2,3,0,0,10,0.668
CSA Women's Provincial T20 Competition 2017/18,17/18,T20,Western Province,WEST,D1,1,LEAGUE_WINNER,1,1,0,1,,5,4,1,0,0,19,1.535
CSA Women's Provincial T20 Competition 2017/18,17/18,T20,Eastern Storm,STOR,D2,2,ELIMINATED_POOL_STAGE,2,0,0,2,Pool B,4,2,1,1,0,13,0.268
CSA Women's Provincial T20 Competition 2017/18,17/18,T20,Rhinos,RHIN,D2,3,ELIMINATED_POOL_STAGE,3,0,0,3,Pool B,4,1,2,1,0,7,-1.188
CSA Women's Provincial T20 Competition 2018/19,18/19,T20,Badgers,BADG,D2,4,ELIMINATED_POOL_STAGE,4,0,0,4,Pool A,4,2,2,0,0,10,0.729
CSA Women's Provincial League 2018/19,18/19,List A,Badgers,BADG,D2,,ELIMINATED_POOL_STAGE,3,0,0,3,Pool A,4,2,2,0,0,10,1.313
CSA Women's Provincial League 2018/19,18/19,List A,Boland,BOLA,D1,8,SEMI_FINALIST,8,0,0,6,,5,0,4,0,0,2,-3.246
CSA Women's Provincial T20 Competition 2018/19,18/19,T20,Boland,BOLA,D1,3,ELIMINATED_REGULAR_SEASON,3,0,0,3,,5,2,2,0,0,11,-0.558
CSA Women's Provincial T20 Competition 2018/19,18/19,T20,Dolphins,DOLP,D2,,POOL_WINNER_ADVANCED,1,0,0,1,Pool B,4,4,0,0,0,19,3.113
CSA Women's Provincial League 2018/19,18/19,List A,Dolphins,DOLP,D2,5,SEMI_FINALIST,5,0,0,1,Pool B,4,4,0,0,0,20,4.672
CSA Women's Provincial T20 Competition 2018/19,18/19,T20,Dragons,DRAG,D1,1,LEAGUE_WINNER,1,1,0,1,,5,5,0,0,0,24,2.813
CSA Women's Provincial League 2018/19,18/19,List A,Dragons,DRAG,D1,3,THIRD_PLACE,3,0,0,1,,5,5,0,0,0,25,3.392
CSA Women's Provincial League 2018/19,18/19,List A,Eastern Storm,STOR,D2,,ELIMINATED_POOL_STAGE,5,0,0,5,Pool B,4,0,4,0,0,0,-1.896
CSA Women's Provincial T20 Competition 2018/19,18/19,T20,Eastern Storm,STOR,D2,3,ELIMINATED_POOL_STAGE,3,0,0,3,Pool B,4,2,2,0,0,10,0.468
CSA Women's Provincial League 2018/19,18/19,List A,Heat,HEAT,D2,,ELIMINATED_POOL_STAGE,4,0,0,4,Pool A,4,1,3,0,0,5,-1.786
CSA Women's Provincial T20 Competition 2018/19,18/19,T20,Heat,HEAT,D2,3,ELIMINATED_POOL_STAGE,3,0,0,3,Pool A,4,2,2,0,0,10,1.066
CSA Women's Provincial T20 Competition 2018/19,18/19,T20,Iinyathi,IINY,D1,5,ELIMINATED_REGULAR_SEASON,5,0,0,5,,5,1,3,0,0,6,-1.707
CSA Women's Provincial League 2018/19,18/19,List A,Iinyathi,IINY,D1,7,SEMI_FINALIST,7,0,0,3,,5,2,2,0,1,11,-1.212
CSA Women's Provincial League 2018/19,18/19,List A,Kei,KEI,D2,,ELIMINATED_POOL_STAGE,5,0,0,5,Pool A,4,0,4,0,0,0,-5.486
CSA Women's Provincial T20 Competition 2018/19,18/19,T20,Kei,KEI,D2,5,ELIMINATED_POOL_STAGE,5,0,0,5,Pool A,4,0,4,0,0,0,-5.05
CSA Women's Provincial T20 Competition 2018/19,18/19,T20,Knights,KNIG,D2,,POOL_WINNER_ADVANCED,1,0,0,1,Pool A,4,3,1,0,0,15,3.075
CSA Women's Provincial League 2018/19,18/19,List A,Knights,KNIG,D2,2,RUNNER_UP,2,0,1,1,Pool A,4,4,0,0,0,20,4.918
CSA Women's Provincial T20 Competition 2018/19,18/19,T20,Limpopo Lillies,LIMP,D2,4,ELIMINATED_POOL_STAGE,4,0,0,4,Pool B,4,1,3,0,0,5,-1.8
CSA Women's Provincial League 2018/19,18/19,List A,Limpopo Lillies,LIMP,D2,,ELIMINATED_POOL_STAGE,3,0,0,3,Pool B,4,2,2,0,0,10,-1.029
CSA Women's Provincial T20 Competition 2018/19,18/19,T20,Lions,LION,D1,6,ELIMINATED_REGULAR_SEASON,6,0,0,6,,5,0,3,0,0,4,-1.232
CSA Women's Provincial League 2018/19,18/19,List A,Lions,LION,D1,6,SEMI_FINALIST,6,0,0,5,,5,1,2,0,1,9,-1.048
CSA Women's Provincial T20 Competition 2018/19,18/19,T20,Rhinos,RHIN,D2,2,ELIMINATED_POOL_STAGE,2,0,0,2,Pool B,4,3,1,0,0,14,1.007
CSA Women's Provincial League 2018/19,18/19,List A,Rhinos,RHIN,D2,,ELIMINATED_POOL_STAGE,2,0,0,2,Pool B,4,3,1,0,0,15,1.799
CSA Women's Provincial T20 Competition 2018/19,18/19,T20,Titans,TITA,D1,4,ELIMINATED_REGULAR_SEASON,4,0,0,4,,5,2,3,0,0,9,-0.413
CSA Women's Provincial League 2018/19,18/19,List A,Titans,TITA,D1,1,CHAMPION,1,1,0,4,,5,2,3,0,0,9,-0.3
CSA Women's Provincial T20 Competition 2018/19,18/19,T20,Tuskers,TUSK,D2,5,ELIMINATED_POOL_STAGE,5,0,0,5,Pool B,4,0,4,0,0,0,-3.008
CSA Women's Provincial League 2018/19,18/19,List A,Tuskers,TUSK,D2,,ELIMINATED_POOL_STAGE,4,0,0,4,Pool B,4,1,3,0,0,5,-1.271
CSA Women's Provincial T20 Competition 2018/19,18/19,T20,Warriors,EAST,D2,2,ELIMINATED_POOL_STAGE,2,0,0,2,Pool A,4,3,1,0,0,13,0.238
CSA Women's Provincial League 2018/19,18/19,List A,Warriors,EAST,D2,,ELIMINATED_POOL_STAGE,2,0,0,2,Pool A,4,3,1,0,0,15,1.852
CSA Women's Provincial T20 Competition 2018/19,18/19,T20,Western Province,WEST,D1,2,ELIMINATED_REGULAR_SEASON,2,0,0,2,,5,3,2,0,0,14,0.729
CSA Women's Provincial League 2018/19,18/19,List A,Western Province,WEST,D1,4,SEMI_FINALIST,4,0,0,2,,5,3,2,0,0,15,0.994
CSA Women's Provincial T20 Competition 2019/20,19/20,T20,Badgers,BADG,D2,3,ELIMINATED_POOL_STAGE,3,0,0,3,Pool A,4,1,2,0,1,7,-0.173
